Model,Precision,Recall,F1,AUC-PR,Loss ($),Saved (%),CW-F1
BCE,0.9152542372881356,0.72,0.8059701492537313,0.810364223009538,2679.93,65.32746990009393,0.7294690422100789
Weighted BCE,0.17679558011049723,0.8533333333333334,0.2929061784897025,0.8073112909197467,2362.2000000000003,69.43821271376561,0.24352518156988273
Focal Loss,0.9411764705882353,0.64,0.7619047619047619,0.7986889065598325,3484.09,54.9233691194241,0.6512645071222012
AWCS-FL,0.49572649572649574,0.7733333333333333,0.6041666666666666,0.7469663773055706,1767.71,77.12963466101542,0.3460466611986935
No Amount Weight,0.5816326530612245,0.76,0.6589595375722543,0.7634698670159301,2402.0099999999998,68.92315693869789,0.41481603184441584
No Temporal Weight,0.5514018691588785,0.7866666666666666,0.6483516483516484,0.7554731253025242,1759.71,77.23313745429705,0.3710207818376298
No Cost Sensitivity,0.8813559322033898,0.6933333333333334,0.7761194029850746,0.7810194082247376,2928.5500000000006,62.110861841883946,0.690755603645499
Amount + Cost Only,0.43283582089552236,0.7733333333333333,0.5550239234449761,0.7824548307628444,1767.71,77.12963466101542,0.35192917436803517
Temporal + Cost Only,0.5377358490566038,0.76,0.6298342541436464,0.7221722168924981,2394.77,69.01682696661776,0.35111209839976965
